Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.07     0.00       55     0.00     0.04  caml_oldify_local_roots
  0.00      0.07     0.00       55     0.00     0.14  caml_oldify_mopup
  0.00      0.07     0.00       55     0.00     0.00  caml_scan_global_young_roots
  0.00      0.07     0.00       51     0.00     0.00  camlCamlinternalMod__init_mod_159
  0.00      0.07     0.00       50     0.00     0.00  camlCamlinternalMod__fun_525
  0.00      0.07     0.00       50     0.00     0.00  camlStdlib__array__sub_120
  0.00      0.07     0.00       50     0.00     0.00  camlStdlib__map__iter_345
  0.00      0.07     0.00       50     0.00     0.00  caml_array_gather
  0.00      0.07     0.00       50     0.00     0.00  caml_array_sub
  0.00      0.07     0.00       50     0.00     0.00  caml_bytes_equal
  0.00      0.07     0.00       45     0.00     0.00  caml_final_register
  0.00      0.07     0.00       45     0.00     0.00  caml_string_is_c_safe
  0.00      0.07     0.00       45     0.00     0.00  generic_final_register
  0.00      0.07     0.00       44     0.00     0.00  caml_obj_block
  0.00      0.07     0.00       40     0.00     0.00  caml_obj_truncate
  0.00      0.07     0.00       38     0.00     0.00  caml_int64_bits_of_float_unboxed
  0.00      0.07     0.00       34     0.00     0.00  camlStdlib__buffer__create_85
  0.00      0.07     0.00       29     0.00     0.00  caml_tuplify4
  0.00      0.07     0.00       26     0.00     0.00  sweep_slice
  0.00      0.07     0.00       24     0.00     0.00  camlStdlib__list__fold_left_250
  0.00      0.07     0.00       24     0.00     0.00  caml_adjust_gc_speed
  0.00      0.07     0.00       24     0.00     0.00  caml_alloc_dummy
  0.00      0.07     0.00       24     0.00     0.00  caml_alloc_dummy_float
  0.00      0.07     0.00       24     0.00     0.00  caml_update_dummy
  0.00      0.07     0.00       23     0.00     0.00  camlStdlib__array__fill_183
  0.00      0.07     0.00       23     0.00     0.00  camlStdlib__array__list_length_174
  0.00      0.07     0.00       23     0.00     0.00  camlStdlib__array__of_list_178
  0.00      0.07     0.00       22     0.00     0.00  caml_int64_compare_unboxed
  0.00      0.07     0.00       18     0.00     0.00  caml_int64_float_of_bits_unboxed
  0.00      0.07     0.00       17     0.00     0.00  caml_secure_getenv
  0.00      0.07     0.00       16     0.00     0.00  caml_check_urgent_gc
  0.00      0.07     0.00       16     0.00     0.00  caml_stat_free
  0.00      0.07     0.00       15     0.00     0.00  caml_raise
  0.00      0.07     0.00       15     0.00     0.00  caml_raise_not_found
  0.00      0.07     0.00       15     0.00     0.00  caml_stat_strdup
  0.00      0.07     0.00       15     0.00     0.00  caml_stat_strdup_noexc
  0.00      0.07     0.00       15     0.00     0.00  caml_sys_getenv
  0.00      0.07     0.00       13     0.00     0.00  caml_obj_dup
  0.00      0.07     0.00       12     0.00     0.00  camlStdlib__stack__push_90
